Date,Votes,Clicks,News,Comments,TopVotesId,TopVotesNumber,TopClicksId,TopClicksNumber,TopCommentsId,TopCommentsNumber
2013-01-10,37452,326453,41,2850,1806997,2597,1808639,300,1805013,175
2013-01-17,37568,216108,49,2890,1814508,2140,1815930,1114,1813111,216
2013-01-16,33437,211665,38,2623,1809728,2029,1814205,259,1807286,254
2013-01-15,38052,351376,48,3284,1809500,4118,1813336,249,1809500,229
2013-01-14,48041,273242,48,3877,1810811,2086,1812390,230,1809614,303
2013-01-19,42539,246102,45,2724,1816486,2417,1817371,730,1812717,195
2013-01-18,47260,341883,53,3543,1815137,2883,1816821,570,1816089,168
2012-12-31,18629,256371,25,1577,1799838,2337,1800898,361,1800032,184
2012-12-30,17378,219500,21,1281,1797057,3011,1800130,566,1797057,247
2013-03-01,27024,182062,33,2061,1855755,2585,1856932,1773,1851175,182
2013-03-03,23262,179001,25,2227,1856518,2307,1857857,487,1854388,316
2013-03-02,24456,155801,28,1892,1856509,1894,1857455,1219,1845836,224
2013-03-05,34234,285982,35,2333,1858909,3899,1860478,186,1858909,256
2013-03-04,39944,256471,44,3099,1856241,2049,1859032,455,1853436,180
2013-03-07,37485,349898,44,2757,1858768,2016,1861930,1248,1857601,124
2013-03-06,34629,235441,36,2413,1860310,3025,1861233,597,1853314,256
2013-03-09,26816,233880,30,2390,1861656,3209,1863616,462,1858001,271
2013-03-08,36575,249347,38,2986,1862126,2627,1862538,355,1855503,302
2013-04-03,29716,224903,34,2210,1882211,2492,1884630,474,1883010,187
2013-02-16,31702,212456,34,2363,1844379,2410,1844980,292,1841178,252
2013-02-17,32425,201894,36,2600,1845000,1802,1845816,1229,1840996,304
2013-02-14,44637,326994,40,2729,1842513,2610,1843531,1039,1839999,231
2013-02-15,45191,339099,46,3377,1841641,3429,1844271,543,1841641,266
2013-02-12,41539,247963,42,3226,1840353,2541,1841534,1076,1840260,397
2013-02-13,42216,187154,40,2659,1841747,2416,1841901,1761,1835438,129
2013-02-10,31973,173134,25,1967,1835228,2490,1839603,479,1837213,202
2013-02-11,46457,271372,40,2905,1840058,2852,1840382,1137,1838101,239
2012-10-24,21342,244752,30,2315,1744572,3369,1744951,429,1742679,252
2012-10-25,37248,348594,41,2889,1745622,1929,1746451,491,1743343,376
2012-10-26,48070,326606,48,3638,1744032,2350,1746772,791,1745679,212
2012-10-27,21582,219467,26,1741,1743804,1537,1748026,401,1744585,220
2012-10-20,32621,346159,36,2416,1730889,4010,1741577,699,1740694,186
2012-10-21,22532,206554,26,2169,1741432,1826,1742038,309,1739038,364
2013-02-18,31899,185859,33,2239,1846256,2449,1846521,1288,1842523,188
2013-02-19,43554,274344,46,3973,1846787,2512,1847593,1199,1846683,357
2013-04-06,36766,282548,36,3239,1881691,3505,1886717,944,1881691,314
2013-04-07,19145,127900,20,1409,1880538,2380,1888030,1347,1880538,132
2013-04-04,26342,198377,30,2028,1884785,2679,1885341,1261,1884179,129
2013-04-05,37814,281225,41,3219,1885433,2260,1886535,780,1879771,275
2013-07-09,38764,249899,40,2549,1966580,3762,1966965,1107,1966580,276
2013-07-08,31591,317996,39,2664,1965350,2440,1965957,435,1964887,191
2013-04-01,32280,294986,38,2514,1882005,2020,1882251,1337,1870516,154
2013-07-05,22770,225021,30,2201,1963375,2533,1964463,896,1963880,160
2013-07-04,37517,247538,40,3316,1960684,2395,1963459,1473,1962420,195
2013-07-07,20603,116219,27,1791,1964427,1894,1965508,707,1964427,237
2013-07-06,14256,93006,18,1372,1962591,1836,1964883,797,1961715,200
2013-07-01,24954,196300,30,1984,1959255,3221,1960627,1594,1959255,231
2013-07-03,28515,275942,36,2683,1961015,2637,1962440,1505,1959835,219
2013-07-02,34353,203975,39,2175,1953187,1805,1961418,997,1960330,146
